GHGRP Facility ID,FACILITY NAME,GHGRP - City,GHGRP - State,ORIS CODE,ORIS CODE 2,ORIS CODE 3,ORIS CODE 4,ORIS CODE 5,GHGRP - Power Plant Sector,Reported Subparts RY10,Reported Subparts RY11,Reported Subparts RY12,Reported Subparts RY13,Reported Subparts RY14,Reported Subparts RY15,Reported Subparts RY16,Reported Subparts RY17,Reported Subparts RY18,Reported Subparts RY19,Reported Subparts RY20
1007978,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",EL SEGUNDO,CA,10213,,,,,,"C,P,PP,Y","C,P,PP,Y","C,P,PP,Y","C,P,PP,Y","C,P,PP,Y","C,P,PP,Y","C,P,PP,Y","C,P,PP,Y","C,P,PP,Y","C,P,PP,Y","C,P,PP,Y"
1007979,"Morris Cogeneration, LLC",MORRIS,IL,55216,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1007982,Putnam,EAST PALATKA,FL,6246,,,,,Yes,"C,D","C,D","C,D","C,D","C,D",No submission,No submission,No submission,No submission,No submission,No submission
1007989,WASTE MANAGEMENT DISPOSAL SERVICES OF OREGON,ARLINGTON,OR,57015,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1008001,"VI WATER AND POWER AUTHORITY, Richmond Plant",CHRISTIANSTED,VI,No Match,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1008008,"AES Western Power, LLC",PASADENA,TX,3461,,,,,Yes,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1008012,CID RECYCLING & DISPOSAL FACILITY,CALUMET CITY,IL,50573,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1008013,Ebensburg Power Company,Ebensburg,PA,10603,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1008020,Bosque County Power Plant,Laguna Park,TX,55172,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1008025,LEAF RIVER CELLULOSE LLC,NEW AUGUSTA,MS,10233,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1008028,Winyah,GEORGETOWN,SC,6249,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1008035,"Madison Gas and Electric Company, LDC",Madison,WI,3991,,,,,,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,No submission
1008042,WAUNA MILL,CLATSKANIE,OR,56192,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1008060,Dutch Harbor Power House,Unalaska,AK,7502,,,,,Yes,No submission,C,C,C,C,C,C,C,C,C,C
1008168,Cass County Station,PLATTSMOUTH,NE,55972,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1008269,Milam Recycling and Disposal Facility,East Saint Louis,IL,50566,,,,,,"C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH","C,HH"
1008271,"VALERO REFINING CO. (PREV. PREMCOR REFINING, PREV. WILLIAMS REFINING LLC)",MEMPHIS,TN,55703,,,,,,"C,MM,Y","C,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y","C,MM,P,Y"
1008434,WYANDOTTE DEPT MUNI POWER,WYANDOTTE,MI,1866,,,,,Yes,D,D,D,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1008459,Eagle US 2 LLC,WESTLAKE,LA,55117,,,,,Yes,"C,D,U,X","C,D,U,X","C,D,U,X","C,D,X","C,D,X","C,D,X","C,D,X","C,D,X","C,D,X","C,D,X","C,D,X"
1008553,"WestRock CP, LLC - Stevenson Mill",STEVENSON,AL,880101,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1008708,"WestRock CP, LLC--Hopewell Mill (Formerly RockTenn)",HOPEWELL,VA,50813,,,,,,"AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C"
1008730,AMP Fremont Energy Center,Fremont,OH,55701,,,,,Yes,No submission,D,D,D,D,D,D,D,D,D,D
1008787,Marina Thermal Facility,Atlantic City,NJ,No Match,,,,,Yes,No submission,C,C,C,C,C,C,C,C,C,C
